,trades,tradeAmount,currencies,contracts,exchange.fullName
0,68729828,930680788036.5784,40061,57459,Uniswap
1,8176930,171643711595.57495,1859,2401,SushiSwap
2,1750450,137562468413.51614,838,1716,<Uniswap v2>
3,567696,33301091625.820107,1021,3,Zerox Exchange
4,99492,23437422881.08056,17,7,Curve
5,712650,19144746475.78993,305,1,Bancor Network
6,1109919,18290921483.002403,720,1369,Balancer
7,106218,17693698315.29159,12,12,Dodo
8,259607,14246151904.067179,62,2,<Zerox Exchange v2>
9,47945,13308939916.955502,18,11,<Curve>
10,181095,9799947741.6596,232,2,1inch
11,100334,8893685362.928944,3,1,dYdX
12,210817,7040346903.573624,148,205,1inch Liquidity Protocol
13,71788,2513646274.4620275,93,2,Kyber Network
14,338390,1601072441.486063,29,81,CRO DeFi Swap
15,46615,1577320648.4779274,1017,1,<Zerox Exchange v3>
16,29218,1411282800.3222651,25,1,Tokenlon
17,40382,1205833035.877621,855,1,Matcha
18,2293,289753983.46905994,3,2,Cofix
19,43375,201978763.3064789,202,261,Mooniswap
20,4320,200145372.78172377,436,1,AirSwap
21,42201,179369325.5808692,54,69,SakeSwap
22,9165,42825748.71689852,13,11,Cream Pool Token
23,2506,40142365.24042521,7,1,Bamboo Relay
24,13559,28792929.944095775,9,9,<Smart DeFi>
25,7689,28259154.48212973,71,1,IDEX
26,11020,26263898.68704535,29,30,FEGex
27,9343,25523000.46266188,19,21,<Uniswap>
28,10416,22365381.936597798,43,48,<Balancer Pool Token>
29,7978,13050827.99113972,395,2,EtherDelta
30,345,7675807.821515682,2,1,Oasis
31,7670,6462313.986130366,25,26,Miniswap
32,2818,5478813.488649041,26,28,CellSwap
33,1428,3565904.398306804,6,1,SingularX
34,441,2890940.4464994958,4,2,<Dodo>
35,2537,2534710.597718502,17,21,<Mooniswap>
36,448,1816195.2084858113,9,2,Radar Relay
37,7421,1781748.3495643518,6,2,TokenTrove
38,1555,1414349.0457556807,9,11,TacoSwap
39,10,245111.2242269017,5,4,S.Finance
40,142,210284.70111902646,4,1,SwitchDex
41,608,143150.5072052805,15,33,ZeusSwap
42,469,134185.45190716395,4,6,FFFSwap
43,42,121734.7728549036,7,1,LedgerDex
44,3,44731.02973859763,1,1,dex.blue
45,253,43785.03623767313,9,12,SwapX
46,489,26464.617118217877,8,6,BestSwap
47,6,8290.91302029815,2,1,StarBitEx
48,68,7849.553949346036,4,3,HiSwap
49,42,4078.12110138368,2,2,<DDEX Hydro v1.1>
50,6,3499.5218235728025,2,2,<Uniswap v3>
51,11,727.1588455744941,4,2,<EtherDelta>
