,count,tradeAmount,started,Trading Pair
0,3070624,171726157153.70316,2021-01-01,WETH/USDC
1,2709979,170413923012.6892,2021-01-01,USDC/WETH
2,12,123568881602.26479,2022-04-12,SF/WETH
3,2493167,66789949710.21434,2021-01-01,WETH/USDT
4,2572750,65515408300.6085,2021-01-01,USDT/WETH
5,876512,35393182683.11174,2021-01-01,DAI/WETH
6,959649,35156665326.0435,2021-01-01,WETH/DAI
7,377990,29878313191.70797,2021-01-01,WBTC/WETH
8,410881,29180235818.780544,2021-01-01,WETH/WBTC
9,295953,23982564440.072002,2021-01-01,USDT/USDC
10,273766,23972228679.46222,2021-01-01,USDC/USDT
11,127598,9551487650.83999,2021-01-01,USDC/DAI
12,129158,9397649170.386656,2021-01-01,DAI/USDC
13,634713,8305355198.834278,2021-01-09,SHIB/WETH
14,1330927,8216832672.823667,2021-01-02,WETH/SHIB
15,224219,7739060644.527558,2021-01-01,SUSHI/WETH
16,206413,7482521922.027598,2021-01-01,WETH/SUSHI
17,113870,6948258375.0557995,2021-01-01,WBTC/USDC
18,107613,6526141029.537508,2021-01-01,USDC/WBTC
19,128694,5660523550.043757,2021-01-01,AAVE/WETH
20,50,5547774427.768264,2021-03-30,WETH/SCAMMY
21,50,5526234740.598484,2021-03-30,WETH/welp
22,211824,5508851641.382732,2021-01-01,LINK/WETH
23,119982,5497132025.2799635,2021-01-01,WETH/AAVE
24,50,5446368121.597464,2021-03-31,WETH/generalize fix for rebass tokens
25,202819,5322278050.8505,2021-01-01,WETH/LINK
26,225606,5271832977.39847,2021-01-01,UNI/WETH
27,187778,5158241561.643882,2021-01-01,WETH/UNI
28,4342,4963112280.537813,2021-03-28,WETH/DELTA
29,38710,4348431534.5022955,2021-04-03,FEI/WETH
30,22550,4130280345.52049,2021-04-03,FEI/USDC
31,20839,4126016964.6806717,2021-04-03,USDC/FEI
32,31294,3745886393.140913,2021-04-03,WETH/FEI
33,217207,3682571591.0486445,2022-01-10,LOOKS/WETH
34,239218,3666240837.488091,2022-01-10,WETH/LOOKS
35,24850,3427997220.9733186,2021-03-17,UST/USDC
36,26689,3391802138.101698,2021-01-19,USDC/UST
37,27814,3278786987.528336,2021-01-05,stETH/-
38,171925,3004591900.3959546,2022-03-17,WETH/APE
39,124290,3000581900.669495,2022-03-17,APE/WETH
40,61503,2960436164.712059,2021-03-23,OHM/DAI
41,127451,2872907455.7092414,2021-03-23,DAI/OHM
42,213369,2829822267.9304976,2021-01-01,USDC/HEX
43,101490,2810958279.3707075,2021-01-01,HEX/USDC
44,78039,2809629968.1968637,2021-01-01,DAI/USDT
45,9509,2757733619.20051,2021-01-05,-/stETH
46,80038,2725715531.0852313,2021-01-01,USDT/DAI
47,94876,2657002509.5307903,2021-01-01,YFI/WETH
48,91209,2633987974.9521823,2021-05-27,SPELL/WETH
49,118958,2631290537.4229655,2021-05-27,WETH/SPELL
