,count,tradeAmount,Trading Pair
0,3070624,171726157153.70316,WETH/USDC
1,2709979,170413923012.6892,USDC/WETH
4,2572750,65515408300.6085,USDT/WETH
3,2493167,66789949710.21434,WETH/USDT
14,1330927,8216832672.823667,WETH/SHIB
6,959649,35156665326.0435,WETH/DAI
5,876512,35393182683.11174,DAI/WETH
13,634713,8305355198.834278,SHIB/WETH
8,410881,29180235818.780544,WETH/WBTC
7,377990,29878313191.70797,WBTC/WETH
9,295953,23982564440.072002,USDT/USDC
10,273766,23972228679.46222,USDC/USDT
34,239218,3666240837.488091,WETH/LOOKS
26,225606,5271832977.39847,UNI/WETH
15,224219,7739060644.527558,SUSHI/WETH
33,217207,3682571591.0486445,LOOKS/WETH
42,213369,2829822267.9304976,USDC/HEX
22,211824,5508851641.382732,LINK/WETH
16,206413,7482521922.027598,WETH/SUSHI
25,202819,5322278050.8505,WETH/LINK
