,trades,traders,contracts,currencies,date.date
0,172478,30993,3439,1893,2021-01-01
1,167977,30606,3269,1754,2021-01-02
2,160319,29068,3273,1797,2021-01-03
3,136184,24812,2932,1655,2021-01-04
4,151698,28753,3144,1757,2021-01-05
5,145729,28264,3224,1807,2021-01-06
6,133913,26237,3067,1769,2021-01-07
7,139879,27397,3003,1704,2021-01-08
8,150128,30745,3262,1834,2021-01-09
9,148939,28239,3405,1937,2021-01-10
10,137831,22526,2801,1460,2021-01-11
11,146636,26524,3136,1761,2021-01-12
12,147013,26615,3338,1814,2021-01-13
13,163929,28938,3239,1768,2021-01-14
14,160767,29086,3165,1747,2021-01-15
15,176132,32061,3274,1776,2021-01-16
16,186831,34382,3337,1861,2021-01-17
17,193042,36068,3280,1801,2021-01-18
18,176853,33215,3212,1764,2021-01-19
19,173010,33547,3084,1720,2021-01-20
20,167328,31810,2894,1566,2021-01-21
21,162127,31143,2790,1502,2021-01-22
22,182909,34076,3013,1623,2021-01-23
23,196178,36172,3224,1735,2021-01-24
24,191784,36828,3017,1638,2021-01-25
25,182862,35396,3015,1628,2021-01-26
26,185876,34734,3084,1628,2021-01-27
27,182129,35577,3058,1662,2021-01-28
28,173807,33565,2894,1574,2021-01-29
29,181860,38315,3075,1641,2021-01-30
30,202383,40486,3051,1606,2021-01-31
31,196032,39725,2855,1538,2021-02-01
32,186479,38846,3014,1579,2021-02-02
33,187229,40140,2944,1595,2021-02-03
34,183468,37307,2771,1448,2021-02-04
35,192521,42504,2814,1452,2021-02-05
36,181024,39041,2946,1559,2021-02-06
37,193766,41151,3092,1661,2021-02-07
38,185874,39886,2859,1539,2021-02-08
39,183405,40527,2899,1545,2021-02-09
40,175139,37664,2819,1481,2021-02-10
41,187683,41351,3033,1590,2021-02-11
42,200736,44160,3027,1565,2021-02-12
43,208910,46344,2970,1545,2021-02-13
44,211329,44996,3148,1640,2021-02-14
45,201172,41800,3008,1620,2021-02-15
46,185504,42086,2883,1556,2021-02-16
47,201081,42687,3041,1619,2021-02-17
48,189038,41854,3011,1638,2021-02-18
